index,group number,index in group,number in group,code,group
0,1,1,2,Cb_Bf_u_B,MISSISSIPPIAN
1,1,2,2,Cb_Bf_l_u,MISSISSIPPIAN
2,2,1,6,DvCb_EBf_l_lm,UPPER_DEVONIAN
3,2,2,6,Dv_Pa,UPPER_DEVONIAN
4,2,3,6,Dv_Ss,UPPER_DEVONIAN
5,2,4,6,Dv_PMH,UPPER_DEVONIAN
6,2,5,6,Dv_MH,UPPER_DEVONIAN
7,2,6,6,Dv_A,UPPER_DEVONIAN
8,3,1,1,OdSl_B,UPPER_ORDOVICIAN
9,4,1,2,Od_OC,MIDDLE_ORDOVICIAN
10,4,2,2,Od_Sk,MIDDLE_ORDOVICIAN
11,5,1,6,Od_Gl_m,LOWER_ORDOVICIAN
12,5,2,6,Od_Gt,LOWER_ORDOVICIAN
13,5,3,6,Od_Tp,LOWER_ORDOVICIAN
14,5,4,6,CmOd_MK_ua,LOWER_ORDOVICIAN
15,5,5,6,CmOd_MK_ub,LOWER_ORDOVICIAN
16,5,6,6,CmOd_MK_uc,LOWER_ORDOVICIAN
17,6,1,7,CmOd_SP,UPPER_CAMBRIAN
18,6,2,7,Cm_M,UPPER_CAMBRIAN
19,6,3,7,Cm_BC,UPPER_CAMBRIAN
20,6,4,7,Cm_L,UPPER_CAMBRIAN
21,6,5,7,Cm_Su_u,UPPER_CAMBRIAN
22,6,6,7,Cm_Su_s,UPPER_CAMBRIAN
23,6,7,7,Cm_Su_l,UPPER_CAMBRIAN
24,7,1,10,Cm_rim,MIDDLE_CAMBRIAN
25,7,2,10,Cm_Ar_lw,MIDDLE_CAMBRIAN
26,7,3,10,Cm_La,MIDDLE_CAMBRIAN
27,7,4,10,Cm_MD,MIDDLE_CAMBRIAN
28,7,5,10,Cm_T,MIDDLE_CAMBRIAN
29,7,6,10,Cm_Ar_l,MIDDLE_CAMBRIAN
30,7,7,10,Cm_Ar_uWf,MIDDLE_CAMBRIAN
31,7,8,10,Cm_Pk,MIDDLE_CAMBRIAN
32,7,9,10,Cm_Ca,MIDDLE_CAMBRIAN
33,7,10,10,Cm_Na,MIDDLE_CAMBRIAN
34,8,1,1,Cm_G,LOWER_CAMBRIAN
35,9,1,1,Pt_M,NEOPROTEROZOIC
