X,Y,l,m,angle
601973.0,5635018.0,-0.283116224129199,0.9590856080845053,-16.44627908971593
601973.0,5635518.0,-0.272231623018196,0.9622317514138051,-15.797104677560993
601973.0,5636018.0,-0.8013708094919834,0.5981678908919831,-53.261205123201144
602473.0,5634518.0,0.2956739475060929,0.9552889179542303,17.197954605927144
602473.0,5635018.0,0.1253039543814341,0.9921183996965158,7.198309096239676
602473.0,5635518.0,0.20689036402165545,0.9783641332729788,11.940181590953
602473.0,5636018.0,0.06459659801796144,0.9979114587599973,3.703691233816499
602473.0,5636518.0,-0.9909033232749814,0.13457564386841153,-82.26591784645335
602973.0,5633518.0,0.31112954302493917,-0.9503675117853579,161.87268481930474
602973.0,5634018.0,0.26315423843042296,-0.9647537752173371,164.74269385410435
602973.0,5634518.0,0.4345828397917473,0.9006318645032169,25.758752299311805
602973.0,5635018.0,-0.2998638611980041,0.9539820044148757,-17.449426498036242
602973.0,5635518.0,0.01903215708135686,0.9998188720947563,1.0905281182780808
602973.0,5636018.0,0.056167646100290486,0.9984213517005496,3.2198635891762017
602973.0,5636518.0,0.07244121299389154,0.9973726839351343,4.154214549868879
602973.0,5637018.0,0.5092242887952682,-0.8606338499623132,149.38782618745844
603473.0,5632518.0,0.7579362471582988,-0.6523286328558591,130.71740176417126
603473.0,5633018.0,0.9499328913405416,-0.3124539997333987,108.20718230815577
603473.0,5633518.0,0.3114115959223447,-0.9502751274894542,161.85567958100458
603473.0,5634018.0,0.3755936443238455,-0.9267844486953439,157.93899157202821
603473.0,5634518.0,-0.38809429961052766,0.9216196691747708,-22.83597301809786
603473.0,5635018.0,-0.5289205279852156,0.8486713586989023,-31.932548229957753
603473.0,5635518.0,0.7895507142548939,-0.6136853180740003,127.85645515150125
603473.0,5636018.0,0.6245902375538561,-0.7809526459090957,141.34788170388012
603473.0,5636518.0,0.7066906373892958,-0.707522680220437,135.03370958009256
603473.0,5637018.0,0.2881531997575991,-0.9575843218586325,163.25257695624987
603973.0,5632018.0,0.7561956747069262,-0.6543455521011331,130.87004485999935
603973.0,5632518.0,0.8186284051165938,-0.5743235449955556,125.05227339136263
603973.0,5633018.0,-0.5783621036084522,0.8157801646948801,-35.33542400275526
603973.0,5633518.0,-0.595324360609284,0.8034854732135157,-36.53575848608792
603973.0,5634018.0,-0.4506282153189375,0.8927117180582258,-26.78399673884069
603973.0,5634518.0,-0.679182455698021,0.7339694761173693,-42.779790234066226
603973.0,5635018.0,0.2799692830435891,-0.9600089585790638,163.74162856642755
603973.0,5635518.0,0.47789012917210155,-0.8784196175176601,151.45230654036123
603973.0,5636018.0,-0.8695505116859935,0.4938440114313696,-60.40644800546765
604473.0,5632018.0,0.7892004905049192,-0.6141356411956522,127.88914125620255
604473.0,5632518.0,-0.7292336121993862,0.6842648163091796,-46.82218348478245
604473.0,5633018.0,-0.732031633602746,0.6812706418193104,-47.05698455433282
604473.0,5633518.0,-0.5350993165452709,0.8447891579753993,-32.350647066719254
604473.0,5634018.0,0.5577900900697254,-0.829982057287992,146.0968948971084
604473.0,5634518.0,0.6067101693001137,-0.7949231223633056,142.6479949636063
604473.0,5635018.0,0.6260376725045123,-0.7797928138968281,141.24160955105015
604973.0,5632518.0,-0.002835887056143844,0.9999959788642176,-0.16248457728372945
604973.0,5633018.0,-0.40697402427314955,0.9134397317650015,-24.014888944635345
604973.0,5633518.0,0.6193480729846337,-0.7851165292427749,141.73145707630025
605473.0,5632518.0,-0.9904253185080225,0.13804958695440625,-82.06500006942869
