X,Y,fname,apparent_displacement,vertical_displacement,downthrow_dir
537046.7646021981,7490731.203805591,Fault_7439,331,141,202.13533612256904
523227.1550957014,7485691.224954087,Fault_2235,533,115,54.715800418696524
522226.3303362894,7487633.670796064,Fault_2235,656,124,54.715800418696524
521166.34065112233,7489218.227346819,Fault_2235,10,0,54.715800418696524
516810.97132595413,7495902.173419985,Fault_2235,1894,376,54.715800418696524
522410.2323590778,7512137.019479184,Fault_2248,9,0,228.8870199585237
519417.7322289855,7515478.928687432,Fault_2248,-742,20,228.8870199585237
516408.0477275356,7498689.684731634,Fault_2843,589,199,59.32948657536173
517046.1159568411,7498061.573232298,Fault_2843,1282,364,59.32948657536173
517515.03954952856,7497623.461603942,Fault_2843,1414,339,59.32948657536173
544307.7009709796,7491692.638204272,Fault_2997,386,72,219.1048647422657
544096.2319441242,7491917.18636764,Fault_2997,261,47,219.1048647422657
543752.3696961959,7492222.851958401,Fault_2997,224,38,219.1048647422657
543147.1098549506,7492663.963172542,Fault_2997,10,1,219.1048647422657
541296.768512412,7493636.112274465,Fault_2997,687,146,219.1048647422657
532506.0249999486,7486149.327272644,Fault_3496,9,8,55.701468332421726
531837.0898258123,7487073.865032861,Fault_3496,10,7,55.701468332421726
530163.5341764191,7489563.8209636025,Fault_3496,-3252,911,235.7014683324217
525325.505628057,7499021.226343844,Fault_3496,10,1,55.701468332421726
523030.67531095765,7501448.433077919,Fault_3496,984,110,55.701468332421726
522395.9013795352,7501938.481481321,Fault_3496,143,9,55.701468332421726
538705.4244229305,7492846.635833018,Fault_3498,612,279,233.45748321343854
534323.1113282444,7499015.00176838,Fault_3498,-197,27,233.45748321343854
533028.5078386215,7500865.5447231885,Fault_3498,415,121,53.457483213438536
532905.6167448963,7501137.697782937,Fault_3498,171,53,53.457483213438536
532609.6850628131,7501499.134679069,Fault_3498,-148,50,233.45748321343854
532095.0758472775,7502195.977325934,Fault_3498,446,145,53.457483213438536
530809.6797610357,7503528.990286234,Fault_3498,368,133,53.457483213438536
530311.8336132559,7504047.288592443,Fault_3498,185,69,53.457483213438536
542707.3904933011,7490597.373729199,Fault_5993,10,0,232.15096703298798
542517.7695477483,7490842.760856229,Fault_5993,9,0,232.15096703298798
542373.611228739,7491121.096265103,Fault_5993,10,0,232.15096703298798
542184.2276158573,7491702.945676575,Fault_5993,234,71,232.15096703298798
519311.7885439947,7486674.03546105,Fault_7099,417,83,49.558155695785246
520544.2515607681,7485206.71169669,Fault_7099,9,0,49.558155695785246
522017.6055133513,7483630.255254749,Fault_7099,322,106,49.558155695785246
520807.88345751597,7483226.614642705,Fault_10762,407,138,36.70173896012994
519367.0179990472,7484631.966606921,Fault_10762,326,87,36.70173896012994
517343.1510058386,7486066.428644905,Fault_10762,316,62,36.70173896012994
521226.7437436528,7501019.348697659,Fault_12647,18,1,56.97129327251198
522503.25198415585,7499743.033783241,Fault_12647,20,1,56.97129327251198
523309.28422204504,7498610.73675247,Fault_12647,-321,76,236.97129327251199
527745.9128882674,7489922.04405272,Fault_12647,1979,1054,56.97129327251198
528916.6969754916,7488164.817928361,Fault_12647,1034,775,56.97129327251198
529433.553626319,7487321.161513795,Fault_12647,-334,310,236.97129327251199
547112.3503881877,7512135.730698762,Fault_12658,-11,0,246.114216183516
548249.1622016816,7510780.316033875,Fault_12658,-239,9,246.114216183516
518952.95844258385,7509329.72002614,Fault_12660,1418,249,187.18567841758372
519431.7841002235,7509260.590957547,Fault_12660,1383,230,187.18567841758372
516593.87386186165,7502955.2027313365,Fault_14378,-650,357,61.33862284383439
516877.2340539912,7502579.885596918,Fault_14378,-781,147,61.33862284383439
517462.54061528476,7501864.779280794,Fault_14378,-380,158,241.3386228438344
517887.68713601766,7501227.408170024,Fault_14378,-141,56,241.3386228438344
518843.60105918435,7499933.980280012,Fault_14378,-264,83,241.3386228438344
518964.04012446385,7499545.462775478,Fault_14378,-192,57,241.3386228438344
519111.79645346996,7499068.717316837,Fault_14378,-285,72,241.3386228438344
519265.1859592209,7498661.066806187,Fault_14378,-316,66,241.3386228438344
519808.6602302139,7497367.688669377,Fault_14378,-1263,109,241.3386228438344
518847.39434206206,7513134.001127849,Fault_16769,-13,2,13.37373269619104
517443.48883386067,7513375.993261564,Fault_16769,1412,202,193.37373269619104
538468.26221117,7480515.58826357,Fault_7436,1,1,1
