X,Y,Z,DipDirection,dip,DipPolarity,formation
406298.137452852,7663097.222840091,326.01385,0,90,1,Fault_1
500322.5699409647,7515461.4600801,315.36877,0,90,1,Fault_16
351046.6700128559,7565216.409911026,255.31442,0,90,1,Fault_17_0
496381.1367175281,7604233.159413959,291.10483,0,90,1,Fault_75
441051.5600002855,7467344.499936406,442.41583,0,90,1,Fault_78
334764.8554251632,7696105.695725674,315.4921,0,90,1,Fault_79
403115.2998712687,7691760.499924449,298.20102,0,90,1,Fault_80
418236.1044395361,7579814.593538415,263.10864,0,90,1,Fault_81
412612.9500759229,7500522.130102118,382.07474,0,90,1,Fault_93
302542.0665402971,7697746.236672723,221.33765,0,90,1,Fault_97
352997.2905070877,7501086.9598130565,418.12723,0,90,1,Fault_99
406856.5001475073,7496073.489906007,442.30276,0,90,1,Fault_103
446910.0999186272,7457876.879946456,325.,0,90,1,Fault_105
311941.4500633273,7646692.650170166,189.,0,90,1,Fault_110
494408.6300394488,7516359.639902748,315.36877,0,90,1,Fault_111
457440.709952078,7499763.7199954605,347.99716,0,90,1,Fault_128
531278.1652911315,7453201.239981691,375.12485,0,90,1,Fault_129
313822.54998647445,7656576.840012278,190.22896,0,90,1,Fault_132
538021.8263875572,7505429.515163615,261.98944,0,90,1,Fault_135
314691.7701718637,7631069.479932459,208.,0,90,1,Fault_136
316229.1371145302,7588465.792447619,416.,0,90,1,Fault_141
388599.0000072532,7525709.780029181,283.15683,0,90,1,Fault_143
308719.9917182103,7696372.815231006,234.21513,0,90,1,Fault_146
373326.7100656465,7540629.840052705,284.26904,0,90,1,Fault_157
498383.0400264724,7492073.799911257,307.99057,0,90,1,Fault_181
550269.2619645752,7698444.561707478,264.15494,0,90,1,Fault_201
497388.5374005327,7555372.74362651,263.10864,0,90,1,Fault_202
500137.2000439475,7464999.090044661,352.8149,0,90,1,Fault_203
