formation,thickness median,thickness std,method
A_HAc_kds,147.0,251.73818599035448,full
A_FOk_b,760.0,626.263963296738,full
P__TAw_ktsv,398.0,269.6497216331393,full
A_FOj_xs_b,1107.0,310.9313429038636,full
P__TAg_sg,332.0,679.6900354846596,full
P__LAw_stq,1433.0,780.657834486694,full
P__LAm_stq,2869.0,1034.249174463315,full
P__po_st,1240.5,776.1599481753199,full
P__TAy_sk,290.0,283.0083794822034,full
P__TAc_sg,445.0,168.746241788216,full
P___bo_sepg,272.5,159.0990257669732,full
P__no_sf,1373.0,674.6987551910928,full
P__THb_shh,1649.0,913.7703122425036,full
AP___pj_ccx,431.0,nan,full
CP__pa_sepg,1326.5,30.405591591021544,full
K__pr_sf,617.0,nan,full
P__TAa_kt,368.0,341.5038488624671,min
P__MNw_sf,505.0,210.87318463948895,min
A_FOh_xs_f,2667.0,1658.218230511292,min
P__THc_stq,1299.0,1265.2253438101843,min
A_FOm_b,455.5,530.305272787391,min
P__TAb_st,350.0,325.7680450710486,min
P__DIt_ss,1103.0,456.13594464808403,min
K__ca_sp,1226.0,868.2953233720331,min
P__TAo_ssqv,1758.0,461.52889039221225,min
P_LI_s,1478.0,206.1921689257761,min
P__TAn_kt,23.0,239.78850635044577,min
P__THt_sta,451.0,601.3613189235203,min
P___cr_g,1178.0,1216.414046814556,min
P__md_PTRB,936.0,516.9954867630213,min
P__TAk_sp,1795.5,626.2966283372973,min
P__DIm_st,546.0,nan,min
P__MN_s,172.5,34.64823227814083,min
K__an_st,712.0,531.6574823807416,min
K__fz_st,1736.0,nan,min
P__DIw_ss,760.0,nan,guess
P__SUm_ss,760.0,nan,guess
P__SUc_sg,760.0,nan,guess
P__SUw_ss,760.0,nan,guess
P__TA_sk,760.0,nan,guess
P__BU_xs_k,760.0,nan,guess
P__LAp_kd,760.0,nan,guess
P__LA_xs_k,760.0,nan,guess
P___is_kx,760.0,nan,guess
P__TH_xs_kx,760.0,nan,guess
P__mgnu_PTRO,760.0,nan,guess
P__xmb_md_PTRC,760.0,nan,guess
P___ya_mls,760.0,nan,guess
A_FOt_xb_k,760.0,nan,guess
A_FOj_s,760.0,nan,guess
A_FO_xb_s,760.0,nan,guess
A_FO_od,760.0,nan,guess
A_GR_mg,760.0,nan,guess
A_GR_gv,760.0,nan,guess
