group,Fault_1,Fault_16,Fault_17_0,Fault_75,Fault_78,Fault_79,Fault_80,Fault_81,Fault_93,Fault_97,Fault_99,Fault_103,Fault_105,Fault_110,Fault_111,Fault_128,Fault_129,Fault_132,Fault_135,Fault_136,Fault_141,Fault_143,Fault_146,Fault_157,Fault_181,Fault_201,Fault_202,Fault_203
Canning_Basin,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0
OCallaghans_Supersuite,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Officer_Basin,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1
Lamil_Group_of_Yeneena_Basin,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Throssell_Range_Group_of_Yeneena_Basin,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1
Collier_Basin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hamersley_Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Talbot_and_Connaughton_Domains_Rudall_Complex,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Fortescue_Group,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Gregory_Range_Suite,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
