index,group_,min,max,ave
0,Canning_Basin,113.0,323.2,218.1
1,Kalkarindji_Suite,523.0,523.0,523.0
2,OCallaghans_Supersuite,621.0,633.0,627.0
3,Officer_Basin,541.0,1000.0,770.5
4,Lamil_Group_of_Yeneena_Basin,630.0,950.0,790.0
5,Throssell_Range_Group_of_Yeneena_Basin,650.0,1000.0,825.0
6,Collier_Basin,1070.0,1317.0,1193.5
7,Tabletop_Domain_Rudall_Complex,1310.0,1590.0,1450.0
8,Hamersley_Group,1317.0,2630.0,1973.5
9,Talbot_and_Connaughton_Domains_Rudall_Complex,1760.0,2500.0,2130.0
10,Fortescue_Group,2629.0,2775.0,2702.0
11,Gregory_Range_Suite,2757.0,2763.0,2760.0
12,Gorge_Creek_Group,3016.0,3022.0,3019.0
13,Pilbara_Craton_Inlier,2895.0,3530.0,3212.5
14,Pilbara_Craton_greenstones,2930.0,3530.0,3230.0
